poblacion,lat,lon,total_inmigracion
Aguascalientes,21.880833,-102.296111,276430
Baja California,29.95,-115.116667,1463949
Baja California Sur,25.846111,-111.972778,313283
Campeche,18.836389,-90.403333,199443
Coahuila,27.302222,-102.044722,398612
Colima,19.096667,-103.960833,193703
Chiapas,16.41,-92.408611,174961
Chihuahua,28.814167,-106.439444,561040
Ciudad de México,19.419444,-99.145556,1679063
Durango,24.934722,-104.911944,210697
Guanajuato,21.018889,-101.262778,557773
Guerrero,17.613056,-99.95,195093
Hidalgo,20.478333,-98.863611,609940
Jalisco,20.566667,-103.676389,1067778
México,19.354167,-99.630833,5190562
Michoacán,19.168611,-101.899722,433109
Morelos,18.7475,-99.070278,500693
Nayarit,21.743889,-105.228333,252605
Nuevo León,25.566667,-99.970556,1319964
Oaxaca,16.898056,-96.414167,293054
Puebla,19.003611,-97.888333,660918
Querétaro,20.591,-100.391,686545
Quintana Roo,19.6,-87.916667,945101
San Luis Potosí,22.603333,-100.429722,294725
Sinaloa,25.002778,-107.502778,312601
Sonora,29.646111,-110.868889,425906
Tabasco,17.972222,-92.588889,210156
Tamaulipas,24.287222,-98.563333,764320
Tlaxcala,19.428889,-98.160833,210269
Veracruz,19.434722,-96.383056,762798
Yucatán,20.833333,-89,269765
Zacatecas,23.292778,-102.700556,177107
